"id","Title","Body","Created At","Updated At","Labels","milestone","State"
"41","EPIC: View DIY Projects","As a **user**, I can **access the published DIY Projects**, so that **I can follow their instructions and replicate them**

### User Stories
#19 
#20 
#21 
","2024-04-02 07:17:02+00:00","2024-04-02 07:19:11+00:00","[Label(name=""epic"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"40","USER STORY: Register users as Content Creators","As **Administrator**, I can **Give privileges to users to became Content Creators**, so that **This content creators can handle DIY projects**
---

## Acceptance Criteria
- Acceptance Criteria 1
	**Given** that I am an administrator
	**When** a user is designed as Content Creator
	**Then** I can assign this user to the Content Creator user group
- Acceptance Criteria 2
	**Given** that I am an administrator
	**When** a user is no longer designed as Content Creator
	**Then** I can revoke their Content Creator user privileges
- Acceptance Criteria 3
	**Given** that I am a Content Creator
	**When** I want to create/modify/delete a DIY Project
	**Then** I have sufficient privileges to perform those tasks

## Tasks
- [x] Task 1 Create ` Content Creators` users group
- [x] Task 2 Assign sufficient privileges to the ` Content Creators` users group
- [x] Task 3 Assign designated users to the ` Content Creators` users group

## Story Points:
1+1+1
## Epic:  
#37
## Iteration:
[DIY Site Backlog](https://github.com/Juanma1313/dys/milestone/1)


","2024-04-02 06:59:17+00:00","2024-04-10 14:13:17+00:00","[Label(name=""must have""), Label(name=""3"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"39","EPIC: DIY Project creation and management","As a **content creator**, I can **add/modify/delete DIY projects**, so that **the DIY Projects can be published and access by users in the website**

### User Stories
#40
#23 
#24
#25 
#26 
#27 
#28 
#29 
#30 
#31 
#32 
#33 
#34","2024-04-02 06:10:08+00:00","2024-04-02 07:04:38+00:00","[Label(name=""must have""), Label(name=""epic"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"38","EPIC: User registration","As a **user**, I can **register myself on the website**, so that **hold my information about the website  **

### Stories
#12
#13 
#14 
#15 
#16 
#17
#18 
#22
","2024-04-01 12:56:09+00:00","2024-04-02 07:07:05+00:00","[Label(name=""must have""), Label(name=""epic"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"37","EPIC: Setup initial development environment","As a **developer**, I can **setup initial environment**, so that **The website can be developed**

###Stories
#36 
#17
","2024-04-01 12:44:10+00:00","2024-04-02 07:02:29+00:00","[Label(name=""must have""), Label(name=""epic"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"36","USER STORY: Create Development Environment","As **developer**, I can **setup the development environment**, so that **I can start developing the website**

- [x] Task 1 – Install Visual Studio Code in local environment
- [x] Task 2 – Create website Github repository and start remote environment
- [x] Task 3 – Install Django and all required libraries for runtime and development of the website
- [x] Task 4 – Create Django project and application
- [x] Task 5 - Create database in ElepantSQL servers
- [x] Task 6 - Create media storage in Cloudinary servers
- [x] Task 7 – create env.py and add all security risk keys
- [x] Task 8 - Migrate Django project to use the new database and media storage
- [x] Task 9 - Setup Heroku service for the website
- [x]  Task 10 – Setup automatic deployment from Github on Heroku servers 

Iteration:  [DIY Site Backlog](https://github.com/Juanma1313/dys/milestone/1)
Points: https://github.com/Juanma1313/dys/labels/8
Epic: https://github.com/Juanma1313/dys/issues/37","2024-04-01 11:38:01+00:00","2024-04-01 12:34:41+00:00","[Label(name=""must have""), Label(name=""8"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"35","USER STORY: Sign out","As **user**, I can **sign out**, so that **I can leave the website with security and I am no longer registered as connected **
","2024-03-28 04:26:10+00:00","2024-04-10 14:09:08+00:00","[Label(name=""must have""), Label(name=""1"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"34","USER STORY: Change component published status","As **content creator**, I can **change a component published status**, so that **the component information is available to users when marked as published or hidden when it is marked as draft**
---
## Acceptance Criteria
- Acceptance Criteria 1
	**Given** that I am a `Creator`  user (member of the `Content Creator` group)
	**When** I have selected a component from a DIY Project
	**Then** I can toggle the published flag `Status` so that this Component from the DIY Project can be shown or hidden from viewing users.

## Tasks
- [x] Task 1 - Modify the DIY Component Admin view (`ComponentInLiner`) to update the `status` field

## Story Points:
1
## Epic:
#39 
## Iteration:
[DIY Site Backlog](https://github.com/Juanma1313/dys/milestone/1)
","2024-03-28 04:17:49+00:00","2024-04-10 09:18:43+00:00","[Label(name=""must have""), Label(name=""1"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"33","USER STORY: Change project Published status","As **content creator**, I can **change a project published status **, so that **the project is available to users when marked as published or hidden when it is marked as draft**
---
## Acceptance Criteria
- Acceptance Criteria 1
	**Given** that I am a `Creator`  user (member of the `Content Creator` group)
	**When** I have selected one or more DIY Projects from the DIY projects list
	**Then** I can toggle the published flag `Status` so that the DIY Project can be shown or hidden from viewing users.

## Tasks
- [x] Task 1 - Modify the DIY Project Admin view (`ThingAdmin`) to update the `status` field
- [x] Task 2 - Add `publish` and `set_as_draft` actions to the DIY Project Admin view

## Story Points:
2 + 3
## Epic:
#39 
## Iteration:
[DIY Site Backlog](https://github.com/Juanma1313/dys/milestone/1)
","2024-03-28 04:16:55+00:00","2024-04-10 09:19:12+00:00","[Label(name=""must have""), Label(name=""5"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
"32","USER STORY: Delete Instructions","As **content creator**, I can **delete project instructions**, so that **those instructions do no longer exist on the website**
---
## Acceptance Criteria
- Acceptance Criteria 1
	**Given** that I am a `Creator`  user (member of the `Content Creator` group)
	**When** I am modifying a DIY Project (`Thing`)
	**Then** I can delete an existing Instructions element from the current DIY Project
- Acceptance Criteria 2
	**Given** that I am a `Creator` user (member of the `Content Creator` group)
	**When** I have requested to delete one or more Instructions elements
	**Then** I will have to explicitly confirm the deletion
## Tasks
Built in #25
## Story Points:
0
## Epic:
#39 
## Iteration:
[DIY Site Backlog](https://github.com/Juanma1313/dys/milestone/1)

","2024-03-28 04:12:57+00:00","2024-04-10 10:52:24+00:00","[Label(name=""must have""), Label(name=""0"")]","Milestone(title=""DIY Site Backlog"", number=1)","open"
